"region_id","zip_code","state","city","date","median_price","initial_price","pct_change"
84615,"60613","IL","Chicago",2022-01-31,291770.757847231,172729.915163836,68.9173282870454
84615,"60613","IL","Chicago",2022-02-28,293577.145052645,172729.915163836,69.9631154071863
84615,"60613","IL","Chicago",2022-03-31,295595.317923766,172729.915163836,71.1315134054178
84615,"60613","IL","Chicago",2022-04-30,297815.033563031,172729.915163836,72.4165922738695
84615,"60613","IL","Chicago",2022-05-31,298469.719604537,172729.915163836,72.7956152363277
84615,"60613","IL","Chicago",2022-06-30,298259.217541744,172729.915163836,72.6737474853982
84615,"60613","IL","Chicago",2022-07-31,297027.602118042,172729.915163836,71.9607178850918
84615,"60613","IL","Chicago",2022-08-31,295650.918031864,172729.915163836,71.1637024492467
84615,"60613","IL","Chicago",2022-09-30,294002.544801502,172729.915163836,70.2093957046398
84615,"60613","IL","Chicago",2022-10-31,292509.055556417,172729.915163836,69.344757263946
84615,"60613","IL","Chicago",2022-11-30,291426.422842108,172729.915163836,68.7179794916749
84615,"60613","IL","Chicago",2022-12-31,290330.874554462,172729.915163836,68.0837243965998
84615,"60613","IL","Chicago",2023-01-31,288524.386213738,172729.915163836,67.037878725333
84615,"60613","IL","Chicago",2023-02-28,286387.821569852,172729.915163836,65.8009391703867
84615,"60613","IL","Chicago",2023-03-31,285295.793961039,172729.915163836,65.1687223318752
84615,"60613","IL","Chicago",2023-04-30,286135.973180653,172729.915163836,65.6551344387863
84615,"60613","IL","Chicago",2023-05-31,288036.403,172729.915163836,66.7553664498679
84615,"60613","IL","Chicago",2023-06-30,289868.544885481,172729.915163836,67.8160639461547
84615,"60613","IL","Chicago",2023-07-31,291410.413768932,172729.915163836,68.7087112226782
84615,"60613","IL","Chicago",2023-08-31,293864.506234879,172729.915163836,70.1294798623309
84615,"60613","IL","Chicago",2023-09-30,296585.75830018,172729.915163836,71.7049174828035
84615,"60613","IL","Chicago",2023-10-31,298735.516694264,172729.915163836,72.9494954078517
84615,"60613","IL","Chicago",2023-11-30,299925.680774431,172729.915163836,73.6385272290264
84615,"60613","IL","Chicago",2023-12-31,300277.941443449,172729.915163836,73.8424644964558
84615,"60613","IL","Chicago",2024-01-31,300427.042258525,172729.915163836,73.9287847004198
84615,"60613","IL","Chicago",2024-02-29,300619.201757169,172729.915163836,74.0400332345615
84615,"60613","IL","Chicago",2024-03-31,301943.041774702,172729.915163836,74.8064552039561
84615,"60613","IL","Chicago",2024-04-30,303942.659991326,172729.915163836,75.9641111981295
84615,"60613","IL","Chicago",2024-05-31,306053.699894593,172729.915163836,77.1862734977313
84615,"60613","IL","Chicago",2024-06-30,306774.7682,172729.915163836,77.6037277092517
84615,"60613","IL","Chicago",2024-07-31,307099.662439797,172729.915163836,77.7918214968789
84615,"60613","IL","Chicago",2024-08-31,307453.296896491,172729.915163836,77.9965541029007
84615,"60613","IL","Chicago",2024-09-30,307686.735285898,172729.915163836,78.1317005766226
84615,"60613","IL","Chicago",2024-10-31,308255.570761296,172729.915163836,78.4610213401155
84615,"60613","IL","Chicago",2024-11-30,308905.448073207,172729.915163836,78.8372603438196
84615,"60613","IL","Chicago",2024-12-31,310788.680143111,172729.915163836,79.9275359154351
84615,"60613","IL","Chicago",2025-01-31,313408.7349,172729.915163836,81.4443865167939
